run_id,run_version,judge_model_id,provider,material_id,condition_id,d_level,u_level,scenario_id,direction_version,target_identity,repeat_index,item_id,raw_score,valid,exploratory_item,data_status
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_in1a,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_in2a,4,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_in3b,4,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_in4a,5,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_go1a,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_go2a,4,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_go3b,4,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_go4a,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ms1,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ms2,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ms3,4,True,True,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ms4,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ms5,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ms6,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ic1,5,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ic3,5,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ic4,5,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ic7,4,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,wu_ic8,5,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,pa_can_create_new_goals,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,pa_can_communicate,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,pa_can_change_behavior,2,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,pa_can_adapt,2,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,pa_actor_scenario,2,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,pa_has_goals,3,True,False,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__machine,C0,D0,U0,s1_scheduling,A,machine,0,pa_wanted_to_perform,3,True,False,synthetic_demo
