run_id,run_version,judge_model_id,provider,material_id,condition_id,d_level,u_level,scenario_id,direction_version,target_identity,repeat_index,construct,construct_name,native_min,native_max,n_items,all_items_valid,construct_score,construct_score_std01,primary_or_secondary,data_status
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__ai,C0,D0,U0,s1_scheduling,A,ai,0,IN,Perceptual Independence,1,7,4,True,4.5,0.5833333333333334,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__ai,C0,D0,U0,s1_scheduling,A,ai,0,GO,Goal Orientation,1,7,4,True,3.25,0.375,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__ai,C0,D0,U0,s1_scheduling,A,ai,0,MSI,Mental-State Inference,1,5,6,True,3.0,0.5,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__ai,C0,D0,U0,s1_scheduling,A,ai,0,IC,Influential Capacity,1,7,5,True,5.2,0.7000000000000001,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__ai,C0,D0,U0,s1_scheduling,A,ai,0,PA5,Perceived Agency (5-item),1,5,5,True,2.0,0.25,secondary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__ai,C0,D0,U0,s1_scheduling,A,ai,0,PA8,Perceived Agency (8-item),1,5,8,True,2.0,0.25,secondary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__human,C0,D0,U0,s1_scheduling,A,human,0,IN,Perceptual Independence,1,7,4,True,3.0,0.3333333333333333,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__human,C0,D0,U0,s1_scheduling,A,human,0,GO,Goal Orientation,1,7,4,True,3.5,0.4166666666666667,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__human,C0,D0,U0,s1_scheduling,A,human,0,MSI,Mental-State Inference,1,5,6,True,3.0,0.5,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__human,C0,D0,U0,s1_scheduling,A,human,0,IC,Influential Capacity,1,7,5,True,4.8,0.6333333333333333,primary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__human,C0,D0,U0,s1_scheduling,A,human,0,PA5,Perceived Agency (5-item),1,5,5,True,2.6,0.4,secondary,synthetic_demo
pilot_demo_run_001,demo.v1,deepseek-v4-pro,deepseek,C0__s1_scheduling__A__human,C0,D0,U0,s1_scheduling,A,human,0,PA8,Perceived Agency (8-item),1,5,8,True,3.0,0.5,secondary,synthetic_demo
